BOARD_ID,USER_ID
B3FB3797,ino0102
73659297,ino0103
396458C2,ino0201
6CE1D55B,ino0204
63034997,ino0206
C3C88197,ino0301
73756997,ino0303
A3A23F97,ino0208
13488497,ino0302
E34C5197,ino48a1
